index,video_title,video_link,video_length,video_likes,video_dislikes,video_id,video_tags,vector_tags
18517,Slim Body Young Latina Gets Her Exotic Pussy Banged By Perv Nurse,https://www.pornktube.tv/videos/18517/slim-body-young-latina-gets-her-exotic-pussy-banged-by-perv-nurse/,44,363,173,18517,"['big_tits', 'lesbian', 'strapon']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0]"
18522,Natasha Nice - My Stepson Is Lost But I Will Help The Poor Boy Find The Right Path,https://www.pornktube.tv/videos/18522/natasha-nice-my-stepson-is-lost-but-i-will-help-the-poor-boy-find-the-right-path/,31,627,302,18522,"['big_tits', 'fat', 'pov']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18515,Natural Boobs Girl Odette Fox Gets Her Fat Pussy Pounded By Hard Cock,https://www.pornktube.tv/videos/18515/natural-boobs-girl-odette-fox-gets-her-fat-pussy-pounded-by-hard-cock/,26,174,82,18515,"['big_tits', 'fat']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18506,My Step Son Ricky Spanish Watched Me Fuck Myself In The Shower Stall,https://www.pornktube.tv/videos/18506/my-step-son-ricky-spanish-watched-me-fuck-myself-in-the-shower-stall/,31,802,351,18506,"['big_tits', 'blonde', 'mature']","[0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18505,Black Man Fucks His Busty Neighbor Secretly From His Wife,https://www.pornktube.tv/videos/18505/black-man-fucks-his-busty-neighbor-secretly-from-his-wife/,28,374,177,18505,"['big_tits', 'black', 'interracial']","[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18510,Bald Man Fucks His Stepdaughter Like A Kingpin Fucks Gwen,https://www.pornktube.tv/videos/18510/bald-man-fucks-his-stepdaughter-like-a-kingpin-fucks-gwen/,26,281,139,18510,"['cheating', 'latin', 'teen']","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18509,Adorable Teen Simon Kitty Prefers Footjob Sex And Oiled Cock,https://www.pornktube.tv/videos/18509/adorable-teen-simon-kitty-prefers-footjob-sex-and-oiled-cock/,25,426,184,18509,"['feet', 'massage', 'teen']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18497,Big Booty Housewife Charlie Phoenix Helps Her Stepson Gain Confidence,https://www.pornktube.tv/videos/18497/big-booty-housewife-charlie-phoenix-helps-her-stepson-gain-confidence/,22,639,327,18497,"['big_tits', 'blonde', 'cheating']","[0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18362,My Girlfriend Was Going To College But Her Ass Should Be Fucked Today,https://www.pornktube.tv/videos/18362/my-girlfriend-was-going-to-college-but-her-ass-should-be-fucked-today/,29,268,117,18362,"['anal', 'russian', 'teen']","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1 0 0]"
18499,Mature Man Gets Young Schoolgirl Drunk And Licks Her Exotic Pussy,https://www.pornktube.tv/videos/18499/mature-man-gets-young-schoolgirl-drunk-and-licks-her-exotic-pussy/,28,727,325,18499,"['brunette', 'teen']","[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
